상가업소번호,상호명,지점명,업종대분류코드,업종대분류명,업종중분류코드,업종중분류명,업종소분류코드,업종소분류명,시군구명,행정동코드,행정동명,법정동명,지번주소,도로명주소,경도,위도
MA010120220804680128,클라라,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 253-15,강원특별자치도 영월군 영월읍 중앙로 18,128.465990364625,37.183425034494
MA010120220804680203,파불콩,,I2,음식,I201,한식,I20107,돼지고기 구이/찜,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 53,강원특별자치도 영월군 영월읍 제방안길 64,128.46782836942,37.1794830360819
MA010120220804680263,영월맛집박가네,,I2,음식,I201,한식,I20101,백반/한정식,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 574-245,강원특별자치도 영월군 영월읍 중앙로 149,128.477438566499,37.1791833773281
MA010120220804680265,예술사도장포,,G2,소매,G213,오락용품 소매,G21302,문구/회화용품 소매업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 945-43,강원특별자치도 영월군 영월읍 중앙로 44,128.468489266504,37.1833760638807
MA010120220804680284,사진마을스튜디오,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 594-1,강원특별자치도 영월군 영월읍 덕포하리2길 18,128.476641089014,37.1758146683003
MA010120220804692765,유신,,N1,시설관리·임대,N102,청소·방제,N10202,"산업설비, 운송장비 및 공공장소 청소업",영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 850-5,강원특별자치도 영월군 영월읍 금강공원길 13,128.473468683001,37.1840710497737
MA010120220804692807,동서건설기계주,,N1,시설관리·임대,N111,산업용품 대여,N11101,건설기계/장비 대여업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 영흥리 908-1,강원특별자치도 영월군 영월읍 제방안길 4-1,128.472515033341,37.1830918371514
MA010120220804693088,영월아리랑관광합자,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 507,강원특별자치도 영월군 영월읍 영월로 2110,128.480965230894,37.1827612531205
MA010120220804693103,영월현대서비스합자회사,,S2,수리·개인,S203,자동차 수리·세차,S20301,자동차 정비소,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 415-1,강원특별자치도 영월군 영월읍 영월로 2129,128.482667813302,37.1840283461699
MA010120220804693158,현대주유소주,,G2,소매,G214,연료 소매,G21401,주유소,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 676-1,강원특별자치도 영월군 영월읍 중앙로 254,128.478601914637,37.1695464592543
MA010120220804693203,동강문화센터주,,N1,시설관리·임대,N105,여행사·보조,N10501,여행사,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 덕포리 575-1,강원특별자치도 영월군 영월읍 덕포우회길 42,128.474452777263,37.1790854309292
MA010120220804693294,늘푸른환경유,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 110-50,강원특별자치도 영월군 영월읍 은행나무6길 13-18,128.465721281039,37.1788243841047
MA010120220804693344,영월한우,,G2,소매,G205,식료품 소매,G20503,정육점,영월군,51750250,영월읍,영월읍,강원특별자치도 영월군 영월읍 하송리 7,강원특별자치도 영월군 영월읍 하송안길 65,128.466369697733,37.1820778878401
